engine,scenario_id,route,decision_time_us,latency_ms,cost_usd,success,reward,agreement_with_rule,ctx_network_latency_ms,ctx_connectivity,ctx_cpu_available,ctx_priority,ctx_batch_size,ctx_cost_budget_usd,ctx_model_size_mb
RuleBased,0,edge,4.974,39.844,2e-05,True,1.769,True,403.6039482337834,1,65.12578776156252,3,1,2.0,15.1
RuleBased,1,hybrid,4.899,342.712,0.004,True,-48.656,True,600.4515598660464,1,79.16866912415952,5,8,1.0,6.2
RuleBased,2,edge,3.764,30.552,2e-05,True,-3.014,True,351.14067849808873,1,44.03618332398554,4,1,0.5,15.1
RuleBased,3,edge,3.208,28.183,2e-05,True,-0.928,True,570.6290308812635,1,55.711656291121486,3,4,1.0,15.1
RuleBased,4,edge,3.097,46.793,2e-05,True,-0.749,True,581.1143959833149,1,43.815995053616156,3,4,1.0,6.2
RuleBased,5,edge,3.136,38.968,2e-05,True,1.77,True,744.4136644911599,1,75.19877706334566,3,1,1.0,9.4
RuleBased,6,edge,3.113,30.751,2e-05,True,1.22,True,539.9978733867995,1,59.93866633287397,2,8,1.0,15.1
RuleBased,7,hybrid,3.65,398.166,0.004,True,-56.412,True,711.1471618530604,1,83.33773687488036,5,8,1.0,9.4
RuleBased,8,edge,3.212,37.96,2e-05,True,-0.581,True,603.8000581175454,1,89.11317247122153,5,1,0.5,6.2
RuleBased,9,edge,3.159,33.043,2e-05,True,-0.027,True,718.1594898700674,1,88.13626285816082,5,1,1.0,9.4
RuleBased,10,edge,3.374,18.801,2e-05,True,0.441,True,414.0856494527377,1,84.21530747001142,4,1,2.0,9.4
RuleBased,11,edge,3.154,38.034,2e-05,True,-0.018,True,671.5354917068713,1,87.98110238731861,5,4,1.0,15.1
RuleBased,12,hybrid,3.471,431.807,0.004,True,-55.605,True,799.1977623733303,1,67.40742668502106,4,8,1.0,6.2
RuleBased,13,hybrid,3.369,284.363,0.004,True,-39.882,True,482.46836494154405,1,53.451796773551735,5,8,1.0,9.4
RuleBased,14,hybrid,3.325,426.303,0.004,True,-56.402,True,764.6793748432913,1,53.005525876823036,4,8,2.0,15.1
RuleBased,15,edge,3.225,34.59,2e-05,True,0.06,True,758.2697999859524,1,81.57014611738515,4,1,2.0,15.1
RuleBased,16,edge,3.154,27.821,2e-05,True,0.013,True,703.2878140583546,1,65.75866664157478,4,2,2.0,9.4
RuleBased,17,edge,2.964,37.635,2e-05,True,2.317,True,773.0620017568232,1,72.42741199823698,2,4,0.5,15.1
RuleBased,18,edge,2.989,45.733,2e-05,True,-0.812,True,735.4867725453516,1,47.31793398015007,2,1,1.0,15.1
RuleBased,19,edge,2.984,22.296,2e-05,True,1.366,True,595.9657413473744,1,81.81775453800915,3,2,0.5,15.1
RuleBased,20,edge,2.944,33.25,2e-05,True,0.353,True,370.0965843225624,1,67.32243089242536,3,4,0.5,9.4
RuleBased,21,edge,3.163,37.443,2e-05,True,0.801,True,649.0615964858193,1,68.71417953428917,3,8,2.0,6.2
RuleBased,22,edge,2.98,45.873,2e-05,True,-0.73,True,562.8425878626892,1,46.56081399257386,2,4,1.0,15.1
RuleBased,23,edge,2.976,32.748,2e-05,True,-1.262,True,422.0546817092237,1,46.76730676868482,5,4,1.0,9.4
RuleBased,24,edge,2.98,26.476,2e-05,True,2.24,True,713.5977466914158,1,66.00154608745417,2,1,1.0,6.2
RuleBased,25,edge,3.438,41.25,2e-05,True,0.207,True,373.1189178318524,1,57.35089221830384,2,1,2.0,9.4
RuleBased,26,edge,3.06,33.659,2e-05,True,-2.064,True,497.4920239840262,1,55.18358604987725,4,1,1.0,15.1
RuleBased,27,edge,3.159,28.562,2e-05,True,-1.261,True,628.3727132694601,1,48.53668010007239,4,2,2.0,9.4
RuleBased,28,edge,3.217,48.421,2e-05,True,0.304,True,556.4677649676712,1,51.66632535997715,2,8,0.5,15.1
RuleBased,29,edge,3.234,42.982,2e-05,True,-3.107,True,764.6549532414508,1,42.26182961770549,4,1,2.0,6.2
RuleBased,30,edge,3.045,29.979,2e-05,True,1.952,True,567.7283526951483,1,73.93172877945636,5,2,0.5,6.2
RuleBased,31,edge,3.072,42.113,2e-05,True,0.036,True,647.5503133980083,1,49.300261136133756,2,8,1.0,9.4
RuleBased,32,edge,3.164,35.278,2e-05,True,0.435,True,434.23945236824215,1,48.734747493059814,3,8,1.0,6.2
RuleBased,33,edge,2.979,44.109,2e-05,True,1.424,True,496.6051711417794,1,64.10263920001049,2,4,0.5,6.2
RuleBased,34,edge,2.957,52.004,2e-05,True,-0.369,True,352.2076255019996,1,44.65597990103839,4,4,2.0,15.1
RuleBased,35,edge,2.994,35.046,2e-05,True,-3.676,True,432.1031587760104,1,41.35923860667279,5,4,2.0,15.1
RuleBased,36,edge,3.036,29.496,2e-05,True,-2.14,True,706.3113528659227,1,50.82712229702379,5,4,2.0,15.1
RuleBased,37,edge,2.93,47.172,2e-05,True,-0.047,True,446.4957736911308,1,54.73500600562669,2,2,1.0,6.2
RuleBased,38,edge,2.92,34.858,2e-05,True,0.646,True,779.694053130029,1,48.5637543745472,3,4,2.0,15.1
RuleBased,39,edge,2.909,28.205,2e-05,True,0.361,True,397.8440122901053,1,55.67754532277065,3,1,1.0,6.2
RuleBased,40,edge,3.065,40.59,2e-05,True,-0.843,True,467.386234665333,1,43.14395390967672,4,4,0.5,6.2
RuleBased,41,edge,2.993,42.385,2e-05,True,-1.503,True,393.4024610061304,1,41.148885231434804,3,4,1.0,15.1
RuleBased,42,edge,3.334,25.279,2e-05,True,2.673,True,631.5774462716481,1,75.71081482438177,3,8,2.0,6.2
RuleBased,43,edge,3.022,32.154,2e-05,True,1.69,True,617.3258498922096,1,61.30619845506254,3,1,2.0,15.1
RuleBased,44,edge,2.951,37.737,2e-05,True,-0.421,True,788.4299290603356,1,52.578878324123956,2,4,2.0,15.1
RuleBased,45,edge,3.023,40.476,2e-05,True,0.392,True,546.5336113817084,1,41.18316571467777,2,4,1.0,9.4
RuleBased,46,edge,2.877,32.977,2e-05,True,0.831,True,493.49713484587323,1,85.14802397052574,3,4,2.0,6.2
RuleBased,47,edge,2.928,34.994,2e-05,True,0.782,True,674.755202224191,1,45.62988004167532,2,1,0.5,15.1
RuleBased,48,edge,3.117,39.146,2e-05,True,1.363,True,509.31829227975516,1,72.3946732928275,4,1,2.0,6.2
RuleBased,49,edge,3.092,42.63,2e-05,True,0.273,True,510.1871530479501,1,59.20529580756357,3,8,0.5,6.2
RuleBased,50,edge,3.054,24.272,2e-05,True,2.711,True,594.3171788959779,1,73.0781343271087,3,8,0.5,6.2
