engine,scenario_id,route,decision_time_us,latency_ms,cost_usd,success,reward,agreement_with_rule,ctx_network_latency_ms,ctx_connectivity,ctx_cpu_available,ctx_priority,ctx_batch_size,ctx_cost_budget_usd,ctx_model_size_mb
RuleBased,0,edge,5.569,40.598,2e-05,True,2.11,True,56.67678389495483,1,62.613208985406274,2,1,5.0,15.1
RuleBased,1,edge,4.196,38.986,2e-05,True,2.589,True,116.69360367906273,1,72.87425465841417,2,8,0.5,15.1
RuleBased,2,edge,3.562,27.885,2e-05,True,-1.251,True,51.3013133071595,1,52.92580959762827,3,1,2.0,6.2
RuleBased,3,edge,3.323,28.203,2e-05,True,-0.933,True,95.61043631443258,1,55.64460332763236,3,4,0.5,15.1
RuleBased,4,edge,3.268,40.412,2e-05,True,1.687,True,87.65524009282213,1,65.08527416149462,2,8,2.0,6.2
RuleBased,5,edge,3.155,44.548,2e-05,True,0.486,True,158.69119777918402,1,56.59800705581456,3,1,5.0,6.2
RuleBased,6,edge,3.071,25.899,2e-05,True,1.539,True,99.56206449039448,1,76.11471618530605,3,8,2.0,9.4
RuleBased,7,edge,3.358,36.921,2e-05,True,2.141,True,118.96001808101413,1,84.20185522409938,4,1,1.0,6.2
RuleBased,8,edge,3.126,37.96,2e-05,True,0.156,True,154.53850795957652,1,83.32263657234475,4,1,5.0,9.4
RuleBased,9,edge,3.124,33.105,2e-05,True,1.294,True,59.9377576075184,1,79.7937767230103,3,1,5.0,15.1
RuleBased,10,edge,3.273,18.801,2e-05,True,1.135,True,170.12505661209735,1,84.42515298015621,3,8,5.0,9.4
RuleBased,11,edge,3.04,46.06,2e-05,True,0.41,True,100.62935641672006,1,53.24683649415441,2,1,5.0,15.1
RuleBased,12,edge,3.069,36.941,2e-05,True,0.916,True,169.77407908836344,1,56.19711388996197,3,8,5.0,9.4
RuleBased,13,edge,2.923,37.288,2e-05,True,2.511,True,118.09732074250023,1,80.82697999859525,3,4,0.5,9.4
RuleBased,14,edge,2.949,39.262,2e-05,True,1.493,True,136.50663838023382,1,75.32878140583546,2,8,5.0,15.1
RuleBased,15,edge,3.307,45.722,2e-05,True,-1.768,True,107.08047488048142,1,42.89328198272489,3,8,0.5,6.2
RuleBased,16,edge,2.947,29.996,2e-05,True,0.909,True,144.65718492812826,1,58.508987699345795,2,1,0.5,9.4
RuleBased,17,edge,3.039,35.363,2e-05,True,2.521,True,121.28959891589487,1,81.94802528348549,2,2,0.5,15.1
RuleBased,18,edge,3.108,40.552,2e-05,True,0.518,True,46.252270678130536,1,64.59018780318283,2,4,0.5,9.4
RuleBased,19,edge,3.116,26.543,2e-05,True,1.428,True,133.041385573366,1,65.84276158086026,2,8,1.0,9.4
RuleBased,20,edge,3.002,29.446,2e-05,True,1.642,True,122.31083242871074,1,83.1224857413481,2,4,5.0,15.1
RuleBased,21,hybrid,3.656,73.416,0.002,True,-8.035,True,62.417012087314035,1,46.09057609181633,4,4,5.0,9.4
RuleBased,22,edge,3.008,40.821,2e-05,True,0.566,True,153.11929897066267,1,63.40139147870876,2,1,5.0,6.2
RuleBased,23,edge,3.178,30.093,2e-05,True,1.44,True,47.19255221435408,1,55.61580299647346,2,1,5.0,9.4
RuleBased,24,edge,3.09,28.2,2e-05,True,1.205,True,135.5912266858968,1,60.25631718093099,3,8,1.0,6.2
