engine,scenario_id,route,decision_time_us,latency_ms,cost_usd,success,reward,agreement_with_rule,ctx_network_latency_ms,ctx_connectivity,ctx_cpu_available,ctx_priority,ctx_batch_size,ctx_cost_budget_usd,ctx_model_size_mb
RuleBased,0,cloud,4.716,163.051,0.0034,True,-12.854,True,67.86798274459446,1,14.055346615087513,3,4,5.0,22.5
RuleBased,1,cloud,4.406,232.851,0.0136,True,-38.18,True,132.17171822756723,1,19.071857833002483,4,16,1.0,9.4
RuleBased,2,cloud,3.428,178.743,0.0068,True,-29.699,True,142.1306421019774,1,5.436203958982859,2,8,5.0,22.5
RuleBased,3,cloud,3.518,137.998,0.0068,True,-31.688,True,97.13496887336447,1,11.738782849410832,4,8,0.5,22.5
RuleBased,4,cloud,3.266,198.325,0.0068,True,-24.587,True,101.059185813738,1,15.263911812286256,3,8,2.0,9.4
RuleBased,5,cloud,3.557,280.398,0.0034,True,-31.394,True,177.16914047769717,1,11.114581227287122,4,4,5.0,9.4
RuleBased,6,cloud,3.312,169.065,0.0068,True,-29.072,True,113.8164976682798,1,20.656083468371847,4,8,2.0,15.1
RuleBased,7,hybrid,3.381,109.893,0.002,True,-9.12,True,134.60001937251513,1,24.60979588733747,3,4,1.0,9.4
RuleBased,8,cloud,3.274,299.259,0.0136,True,-52.496,True,194.40878857448246,1,14.510763984249103,4,16,5.0,9.4
RuleBased,9,cloud,3.275,208.728,0.0136,True,-41.324,True,122.31696719412447,1,8.036399906067794,4,16,5.0,22.5
RuleBased,10,cloud,3.333,222.424,0.0136,True,-50.783,True,189.41970351296146,1,24.718963679187482,4,16,2.0,22.5
RuleBased,11,cloud,3.325,275.098,0.0068,True,-37.97,True,169.97030039898647,1,14.04179147901474,4,8,1.0,15.1
RuleBased,12,cloud,3.102,249.026,0.0136,True,-43.307,True,174.77629997100973,1,3.20409156924787,4,16,5.0,15.1
RuleBased,13,cloud,3.211,290.558,0.0136,True,-44.528,True,188.22645828109708,1,8.722431385802135,4,16,5.0,22.5
RuleBased,14,cloud,3.307,254.062,0.0068,True,-29.199,True,149.58463151819953,1,3.739638986370445,2,8,5.0,22.5
RuleBased,15,cloud,3.248,249.689,0.0034,True,-33.779,True,157.4777678978637,1,24.1688311944441,4,4,5.0,9.4
RuleBased,16,cloud,3.137,198.09,0.0034,True,-29.749,True,147.2822359947109,1,22.871801055708946,4,4,1.0,15.1
RuleBased,17,cloud,3.311,282.584,0.0136,True,-40.786,True,187.47210466939868,1,5.027709841763282,2,16,1.0,9.4
RuleBased,18,cloud,3.19,165.356,0.0068,True,-26.148,True,68.12283652395904,1,3.9824996779919415,3,8,1.0,9.4
RuleBased,19,cloud,3.462,143.127,0.0068,True,-25.597,True,97.0164101547539,1,15.827439670519821,3,8,1.0,15.1
RuleBased,20,cloud,3.033,211.114,0.0136,True,-42.393,True,138.1901776021901,1,24.08210414021463,3,16,0.5,15.1
RuleBased,21,cloud,3.216,240.497,0.0136,True,-42.477,True,150.28323102010955,1,23.571230076086632,3,16,5.0,15.1
RuleBased,22,hybrid,3.297,126.618,0.002,True,-12.04,True,171.19924889713857,1,14.440680278479837,2,4,5.0,9.4
RuleBased,23,cloud,3.252,105.623,0.0034,True,-10.654,True,57.706305943950795,1,10.634392576053692,2,4,5.0,15.1
RuleBased,24,cloud,3.267,198.456,0.0068,True,-31.094,True,152.41917144917517,1,12.903088399566265,4,8,1.0,9.4
RuleBased,25,cloud,3.258,230.398,0.0068,True,-32.781,True,138.68927454905256,1,7.553684260989475,3,8,0.5,22.5
RuleBased,26,cloud,3.224,170.676,0.0034,True,-21.125,True,109.87356048168914,1,7.3008665460278825,2,4,5.0,22.5
RuleBased,27,cloud,3.198,112.49,0.0034,True,-17.234,True,78.27939407956687,1,18.64080082572967,3,4,1.0,9.4
RuleBased,28,cloud,3.312,261.387,0.0136,True,-44.704,True,149.18343779933608,1,7.092114899898854,4,16,0.5,15.1
RuleBased,29,cloud,3.297,176.965,0.0068,True,-31.665,True,95.73638907134395,1,10.5694514054305,4,8,2.0,15.1
RuleBased,30,cloud,3.291,144.639,0.0136,True,-27.937,True,76.54434218159608,1,14.425372411349125,3,16,0.5,9.4
RuleBased,31,cloud,3.19,170.587,0.0136,True,-35.325,True,84.70022194635774,1,23.980825305347377,3,16,5.0,22.5
RuleBased,32,hybrid,3.275,110.267,0.002,True,-11.082,True,167.4970759081333,1,21.688856069900872,3,4,1.0,15.1
RuleBased,33,cloud,3.223,244.324,0.0034,True,-23.835,True,134.30038171316363,1,15.591309423891202,3,4,1.0,22.5
RuleBased,34,hybrid,3.354,96.229,0.002,True,-7.203,True,94.20501801688008,1,8.898215537866665,3,4,0.5,15.1
RuleBased,35,cloud,3.421,126.143,0.0136,True,-35.352,True,75.6912631236416,1,18.06004039443563,3,16,0.5,22.5
RuleBased,36,cloud,3.29,137.321,0.0068,True,-25.409,True,97.03263596831195,1,15.938388335873238,3,8,2.0,15.1
RuleBased,37,cloud,3.444,170.405,0.0068,True,-26.695,True,59.431861729030146,1,12.05613135593278,4,8,0.5,9.4
RuleBased,38,cloud,3.291,122.319,0.0136,True,-27.347,True,64.46748700204347,1,3.505509501831314,3,16,2.0,15.1
RuleBased,39,cloud,3.044,181.995,0.0068,True,-28.518,True,141.08825917437036,1,17.40377621138661,3,8,1.0,22.5
RuleBased,40,cloud,3.378,192.649,0.0136,True,-34.719,True,119.40047676800634,1,24.540466553496003,3,16,2.0,15.1
RuleBased,41,cloud,3.438,171.519,0.0136,True,-37.965,True,93.78220842823045,1,20.96994423746313,4,16,0.5,15.1
RuleBased,42,hybrid,3.323,100.886,0.002,True,-10.309,True,154.2950939355955,1,9.370225325202837,3,4,5.0,15.1
RuleBased,43,hybrid,3.138,96.383,0.002,True,-8.244,True,137.84091238263304,1,3.4459419990140967,2,4,0.5,9.4
RuleBased,44,cloud,3.198,216.01,0.0068,True,-34.434,True,142.84554361107035,1,5.602224937237888,3,8,0.5,15.1
RuleBased,45,cloud,3.186,207.334,0.0034,True,-23.955,True,136.71907312381768,1,10.831371926788673,4,4,1.0,9.4
RuleBased,46,cloud,3.46,163.685,0.0136,True,-37.581,True,77.52006747900738,1,3.625176702099882,4,16,2.0,9.4
RuleBased,47,cloud,3.296,139.299,0.0068,True,-20.018,True,84.2383690439485,1,3.365107551889823,3,8,2.0,9.4
RuleBased,48,cloud,3.11,292.375,0.0136,True,-40.592,True,191.6341762543966,1,16.060311123489065,2,16,2.0,15.1
RuleBased,49,cloud,3.129,243.921,0.0136,True,-38.437,True,144.95098313739402,1,19.59970285257717,2,16,1.0,15.1
RuleBased,50,cloud,3.252,104.478,0.0034,True,-11.516,True,58.744537797041545,1,7.880450807073341,4,4,2.0,9.4
RuleBased,51,cloud,3.263,218.838,0.0068,True,-30.719,True,134.23853571979583,1,9.066762891122211,3,8,5.0,22.5
RuleBased,52,cloud,3.192,187.961,0.0136,True,-35.268,True,118.63403120874857,1,20.85162529669239,3,16,1.0,9.4
RuleBased,53,cloud,3.314,256.077,0.0068,True,-32.062,True,144.2024891196246,1,6.38315201302504,4,8,0.5,22.5
RuleBased,54,cloud,3.396,126.916,0.0068,True,-17.42,True,75.88591436021846,1,9.578796567033713,3,8,0.5,9.4
RuleBased,55,cloud,3.112,208.494,0.0068,True,-26.064,True,130.01233251816322,1,21.6958549817775,2,8,5.0,15.1
RuleBased,56,cloud,3.114,230.986,0.0136,True,-34.752,True,130.8471440857015,1,24.36393247071736,3,16,0.5,9.4
RuleBased,57,cloud,3.292,128.288,0.0068,True,-18.782,True,71.28385014747373,1,11.562659899439057,2,8,1.0,9.4
RuleBased,58,cloud,3.37,217.909,0.0034,True,-33.451,True,184.83682791841744,1,9.496420591366565,4,4,1.0,22.5
RuleBased,59,cloud,3.118,214.584,0.0068,True,-34.339,True,144.47262623472008,1,21.64079910018239,3,8,1.0,22.5
RuleBased,60,cloud,3.154,237.412,0.0034,True,-18.407,True,127.42855701168564,1,6.951708353480606,2,4,0.5,22.5
RuleBased,61,cloud,3.098,266.244,0.0068,True,-27.466,True,150.15541115662927,1,18.49643612023373,2,8,2.0,15.1
RuleBased,62,hybrid,3.231,61.601,0.002,True,-7.648,True,82.42870218917587,1,6.392973357356496,2,4,2.0,15.1
RuleBased,63,cloud,3.321,138.159,0.0068,True,-20.13,True,66.10902757269594,1,21.41785725940564,3,8,0.5,15.1
RuleBased,64,cloud,3.215,210.914,0.0034,True,-17.182,True,121.15714875180218,1,13.972486769114804,3,4,5.0,22.5
RuleBased,65,cloud,3.244,176.241,0.0068,True,-27.265,True,101.7678388385655,1,4.518766873620559,3,8,2.0,22.5
RuleBased,66,cloud,3.109,172.524,0.0068,True,-24.864,True,83.90718791821024,1,10.150044556834738,3,8,5.0,15.1
