engine,scenario_id,route,decision_time_us,latency_ms,cost_usd,success,reward,agreement_with_rule,ctx_network_latency_ms,ctx_connectivity,ctx_cpu_available,ctx_priority,ctx_batch_size,ctx_cost_budget_usd,ctx_model_size_mb
RuleBased,0,cloud,5.504,139.478,0.00085,True,-7.998,True,44.29438619567557,1,52.63836653771878,4,1,10.0,22.5
RuleBased,1,hybrid,4.717,90.88,0.004,True,-10.939,True,96.78708263094569,1,68.08553603657546,5,8,5.0,9.4
RuleBased,2,cloud,3.929,66.916,0.00085,True,-17.854,True,30.304180932823662,1,29.43980165638409,5,1,2.0,22.5
RuleBased,3,hybrid,3.672,63.642,0.002,True,-12.018,True,88.8344082350036,1,42.28282192023364,5,4,5.0,22.5
RuleBased,4,hybrid,3.571,86.974,0.002,True,-10.302,True,91.63050559555064,1,29.19759455897777,5,4,5.0,9.4
RuleBased,5,edge,3.444,42.412,2e-05,True,-0.219,True,135.17697719764266,1,63.718654769680235,5,1,5.0,15.1
RuleBased,6,cloud,3.523,140.577,0.0068,True,-25.369,True,85.32870270808115,1,29.987631044779214,4,8,5.0,22.5
RuleBased,7,hybrid,10.418,105.746,0.004,True,-12.549,True,126.3059098274828,1,72.67151056236838,5,8,5.0,15.1
RuleBased,8,edge,5.952,38.253,2e-05,True,-0.625,True,97.68001549801211,1,79.02448971834367,5,1,2.0,9.4
RuleBased,9,edge,3.498,33.658,2e-05,True,-0.12,True,128.1758639653513,1,77.9498891439769,5,1,10.0,15.1
RuleBased,10,edge,3.336,27.346,2e-05,True,-2.46,True,86.40483868933845,1,51.51622130451231,5,1,10.0,15.1
RuleBased,11,hybrid,3.49,99.675,0.002,True,-11.584,True,110.91637951380552,1,64.29878231972872,5,4,5.0,22.5
RuleBased,12,hybrid,3.687,107.101,0.004,True,-15.117,True,149.78606996622142,1,55.14816935352317,5,8,5.0,9.4
RuleBased,13,cloud,3.815,167.656,0.0068,True,-20.243,True,65.32489731774508,1,39.796976450906904,5,8,5.0,15.1
RuleBased,14,cloud,3.552,245.059,0.0068,True,-39.881,True,140.58116662487765,1,39.30607846450534,5,8,10.0,22.5
RuleBased,15,hybrid,3.376,108.629,0.0005,True,-12.619,True,138.87194666292066,1,70.72716072912368,5,1,10.0,22.5
RuleBased,16,edge,3.237,31.548,2e-05,True,-1.894,True,124.21008374889456,1,53.33453330573226,5,2,10.0,15.1
RuleBased,17,hybrid,3.409,111.73,0.002,True,-11.051,True,142.8165338018195,1,60.67015319806067,4,4,2.0,22.5
RuleBased,18,cloud,3.443,230.03,0.00085,True,-28.952,True,132.79647267876044,1,33.04972737816509,4,1,5.0,22.5
RuleBased,19,hybrid,3.261,69.06,0.001,True,-7.36,True,95.59086435929984,1,70.99952999181006,4,2,2.0,22.5
RuleBased,20,hybrid,3.411,66.693,0.002,True,-8.339,True,35.35908915268332,1,55.0546739816679,4,4,2.0,15.1
RuleBased,21,hybrid,3.426,93.291,0.004,True,-14.365,True,109.74975906288513,1,56.58559748771809,5,8,10.0,9.4
RuleBased,22,hybrid,3.456,88.767,0.002,True,-10.743,True,95.49643298053235,1,51.01409407210647,4,4,5.0,22.5
RuleBased,23,cloud,3.504,97.131,0.0034,True,-14.433,True,49.21458178912631,1,32.4440374455533,5,4,5.0,15.1
RuleBased,24,hybrid,3.372,84.716,0.0005,True,-7.506,True,126.95939911771086,1,53.60170069619959,4,1,5.0,9.4
RuleBased,25,hybrid,3.313,73.998,0.0005,True,-6.969,True,36.165044755160636,1,44.085981440134226,4,1,10.0,15.1
RuleBased,26,cloud,3.448,130.134,0.00085,True,-23.89,True,69.33120639574034,1,41.701944654864974,5,1,5.0,22.5
RuleBased,27,hybrid,3.386,68.754,0.001,True,-10.066,True,104.23272353852268,1,34.39034811007963,5,2,10.0,15.1
RuleBased,28,cloud,3.399,197.262,0.0068,True,-26.848,True,85.05807065804565,1,37.832957895974864,4,8,2.0,22.5
RuleBased,29,hybrid,3.431,105.209,0.0005,True,-14.539,True,140.5746541977202,1,27.48801257947604,5,1,10.0,9.4
RuleBased,30,hybrid,3.485,73.845,0.001,True,-5.408,True,88.06089405203952,1,62.32490165740199,5,2,2.0,9.4
RuleBased,31,cloud,3.359,195.234,0.0068,True,-30.469,True,109.34675023946886,1,35.230287249747136,4,8,5.0,15.1
RuleBased,32,cloud,3.516,112.084,0.0068,True,-18.219,True,52.46385396486458,1,34.6082222423658,5,8,5.0,9.4
RuleBased,33,cloud,3.428,179.119,0.0034,True,-19.133,True,69.09471230447451,1,51.51290312001153,4,4,2.0,9.4
RuleBased,34,cloud,3.548,148.341,0.0034,True,-9.876,True,30.588700133866553,1,30.12157789114223,5,4,10.0,22.5
RuleBased,35,cloud,3.422,102.346,0.0034,True,-21.961,True,51.894175673602774,1,26.49516246734007,5,4,10.0,22.5
RuleBased,36,cloud,3.493,165.305,0.0034,True,-30.541,True,125.01636076424604,1,36.90983452672617,5,4,10.0,22.5
RuleBased,37,hybrid,3.396,81.489,0.001,True,-7.866,True,55.73220631763489,1,41.20850660618936,4,2,5.0,9.4
RuleBased,38,cloud,3.392,202.437,0.0034,True,-26.631,True,144.58508083467444,1,34.42012981200192,5,4,2.0,22.5
RuleBased,39,edge,3.157,29.049,2e-05,True,-1.315,True,105.61038414208892,1,52.86446837518588,5,1,5.0,9.4
RuleBased,40,cloud,3.712,134.552,0.0034,True,-15.952,True,61.30299591075547,1,28.45834930064439,5,4,2.0,9.4
RuleBased,41,cloud,3.635,119.311,0.0034,True,-19.024,True,41.57398960163478,1,26.263773754578285,5,4,5.0,22.5
RuleBased,42,hybrid,3.362,76.282,0.004,True,-10.649,True,105.08731900577286,1,64.28189630681996,5,8,10.0,9.4
RuleBased,43,hybrid,3.44,78.105,0.0005,True,-6.609,True,101.28689330458924,1,48.4368183005688,5,1,5.0,22.5
RuleBased,44,hybrid,3.359,87.67,0.002,True,-11.556,True,111.76844356145446,1,75.80526120094035,4,4,10.0,22.5
RuleBased,45,hybrid,3.337,71.999,0.002,True,-8.373,True,82.40896303512224,1,26.301482286145546,5,4,2.0,15.1
RuleBased,46,edge,3.233,44.216,2e-05,True,-2.752,True,122.14720971879646,1,42.5385387033845,4,4,10.0,9.4
RuleBased,47,cloud,3.407,171.662,0.00085,True,-17.508,True,116.60138725978423,1,31.19286804584285,4,1,2.0,22.5
