engine,scenario_id,route,decision_time_us,latency_ms,cost_usd,success,reward,agreement_with_rule,ctx_network_latency_ms,ctx_connectivity,ctx_cpu_available,ctx_priority,ctx_batch_size,ctx_cost_budget_usd,ctx_model_size_mb
RuleBased,0,edge,4.771,42.852,2e-05,True,0.937,True,235.7359654891889,1,55.10063020925003,3,1,2.0,9.4
RuleBased,1,edge,4.301,43.774,2e-05,True,0.262,True,435.0120147449571,1,56.91245819401793,4,1,0.5,6.2
RuleBased,2,edge,3.61,31.934,2e-05,True,-1.317,True,384.2612842039548,1,39.4294617436052,2,1,2.0,9.4
RuleBased,3,edge,3.317,31.874,2e-05,True,-2.962,True,403.8166828026618,1,43.40898644841236,4,1,2.0,6.2
RuleBased,4,hybrid,4.199,249.626,0.0005,True,-27.821,True,416.9335924246786,1,38.586598800853054,4,1,0.5,9.4
RuleBased,5,edge,3.207,42.497,2e-05,True,1.702,True,207.42179046823293,1,63.434493353618564,2,1,1.0,9.4
RuleBased,6,edge,3.338,33.128,2e-05,True,-0.92,True,460.1675848285435,1,52.01773271154128,4,2,1.0,9.4
RuleBased,7,edge,2.987,43.653,2e-05,True,1.778,True,453.34331263594214,1,57.56000516600403,2,2,2.0,6.2
RuleBased,8,edge,3.057,41.642,2e-05,True,1.187,True,429.74789692982773,1,67.72528798845045,2,2,2.0,9.4
RuleBased,9,edge,3.238,40.758,2e-05,True,-1.152,True,341.01209672334613,1,54.28452458509986,4,1,2.0,9.4
RuleBased,10,edge,3.227,20.786,2e-05,True,0.183,True,414.3569944712475,1,73.3848819098549,4,1,2.0,9.4
RuleBased,11,edge,3.267,43.772,2e-05,True,-0.558,True,364.4445601101264,1,60.87452128586161,4,1,0.5,9.4
RuleBased,12,hybrid,3.618,256.985,0.001,True,-29.639,True,449.55259994201947,1,35.37107558045067,4,2,2.0,9.4
RuleBased,13,edge,3.213,48.39,2e-05,True,-0.726,True,307.9807592664131,1,42.9935026944013,4,1,1.0,6.2
RuleBased,14,edge,3.207,47.561,2e-05,True,-2.24,True,449.42087670431096,1,47.6662842803167,4,1,2.0,9.4
RuleBased,15,edge,3.164,36.506,2e-05,True,-0.19,True,335.87621134960034,1,73.61072813959385,4,2,0.5,9.4
RuleBased,16,edge,2.961,32.607,2e-05,True,-0.584,True,470.979105305122,1,49.805150954920805,3,1,1.0,6.2
RuleBased,17,edge,2.875,43.448,2e-05,True,0.244,True,227.65058875131749,1,53.04921286721229,3,1,0.5,6.2
RuleBased,18,edge,3.007,40.407,2e-05,True,-0.367,True,386.322398583574,1,65.07420019699592,3,2,0.5,6.2
RuleBased,19,edge,2.996,28.799,2e-05,True,0.067,True,294.03282030950777,1,58.322617582763314,3,1,2.0,6.2
RuleBased,20,edge,2.844,41.372,2e-05,True,-1.894,True,341.8950585751262,1,40.248651194059086,3,2,0.5,9.4
RuleBased,21,edge,2.912,36.336,2e-05,True,0.987,True,400.5664620402191,1,72.4022365019757,3,2,2.0,9.4
RuleBased,22,edge,3.021,47.559,2e-05,True,-1.163,True,317.1221922516711,1,40.9414519429299,2,1,0.5,9.4
RuleBased,23,edge,3.278,35.661,2e-05,True,0.011,True,466.3312272878736,1,37.05501491838688,2,1,0.5,9.4
RuleBased,24,edge,3.188,32.133,2e-05,True,-0.554,True,298.32801598935083,1,47.1468688399018,4,1,1.0,6.2
RuleBased,25,edge,3.248,41.72,2e-05,True,-1.76,True,246.16717530323973,1,55.784549178774846,4,1,2.0,6.2
RuleBased,26,edge,3.28,38.88,2e-05,True,-2.543,True,403.5494909678757,1,37.78033898691951,3,1,0.5,6.2
RuleBased,27,edge,3.001,23.566,2e-05,True,1.603,True,335.5462570520384,1,65.188387823359,2,2,0.5,6.2
RuleBased,28,edge,2.972,47.219,2e-05,True,-0.193,True,435.6226851403706,1,55.674106447284124,3,1,1.0,9.4
RuleBased,29,edge,3.104,40.192,2e-05,True,-1.308,True,327.6062828295177,1,51.56347151638447,3,1,1.0,6.2
RuleBased,30,edge,3.067,35.687,2e-05,True,1.369,True,279.0331068573488,1,54.90409672237734,3,1,1.0,6.2
RuleBased,31,edge,3.062,40.619,2e-05,True,-0.413,True,297.73678076118625,1,54.282111360008386,3,2,0.5,6.2
RuleBased,32,edge,2.991,27.955,2e-05,True,2.303,True,269.4004438927155,1,73.1469551006316,3,2,1.0,6.2
RuleBased,33,edge,3.047,48.616,2e-05,True,-0.542,True,488.35958621021683,1,49.07800640062698,3,2,0.5,9.4
RuleBased,34,edge,3.154,48.084,2e-05,True,1.339,True,366.73992742131554,1,57.721660653045916,3,1,2.0,6.2
RuleBased,35,edge,3.178,33.789,2e-05,True,-0.475,True,230.43672170089246,1,45.54850879205189,2,1,2.0,6.2
RuleBased,36,edge,2.987,25.575,2e-05,True,1.32,True,427.7338199829758,1,63.89433258840951,2,2,2.0,9.4
RuleBased,37,edge,3.15,43.044,2e-05,True,0.154,True,283.03582129204693,1,68.49564941642137,3,1,1.0,9.4
RuleBased,38,edge,3.152,33.987,2e-05,True,0.317,True,218.8637234580603,1,51.46569337442324,4,1,0.5,6.2
RuleBased,39,edge,3.065,34.133,2e-05,True,-1.279,True,228.93497400408694,1,35.91910818514784,3,2,1.0,9.4
RuleBased,40,edge,2.962,35.176,2e-05,True,1.34,True,382.17651834874073,1,61.18868402070292,3,1,2.0,6.2
RuleBased,41,edge,2.917,39.116,2e-05,True,-0.599,True,378.2172332614731,1,52.04495876405004,3,1,2.0,9.4
RuleBased,42,edge,3.435,26.127,2e-05,True,2.149,True,316.71419134411525,1,72.88254493976106,4,2,0.5,9.4
RuleBased,43,edge,2.922,36.571,2e-05,True,0.468,True,408.590187871191,1,46.582227864005155,3,1,1.0,9.4
RuleBased,44,edge,3.218,42.767,2e-05,True,-1.712,True,375.6818247652661,1,35.81080363457109,2,1,2.0,6.2
RuleBased,45,edge,3.202,40.858,2e-05,True,-0.408,True,248.63724176355515,1,39.90740839191763,3,2,2.0,9.4
RuleBased,46,edge,3.191,39.54,2e-05,True,-1.365,True,208.6382517772244,1,58.12508616635138,4,1,0.5,9.4
RuleBased,47,edge,3.212,28.884,2e-05,True,1.283,True,398.77790932260143,1,65.99631045019866,4,1,1.0,6.2
RuleBased,48,edge,3.36,50.165,2e-05,True,-1.014,True,268.476738087897,1,35.66383191252695,3,1,1.0,6.2
RuleBased,49,edge,3.304,42.768,2e-05,True,0.99,True,483.2683525087932,1,58.746020224525566,2,2,2.0,9.4
RuleBased,50,edge,3.19,29.45,2e-05,True,1.943,True,302.2139041863528,1,55.817957149306515,2,1,2.0,6.2
RuleBased,51,edge,3.033,34.417,2e-05,True,0.149,True,341.16351841009464,1,73.80774474794825,4,1,2.0,9.4
RuleBased,52,edge,3.027,39.197,2e-05,True,-0.231,True,485.29997197575204,1,44.30050896453566,3,1,1.0,9.4
RuleBased,53,edge,3.067,47.843,2e-05,True,0.168,True,337.7803175978617,1,53.30240832233295,3,2,0.5,6.2
RuleBased,54,edge,3.251,35.263,2e-05,True,-0.399,True,388.4049782392492,1,41.15118547822735,4,1,0.5,6.2
RuleBased,55,edge,2.937,39.955,2e-05,True,0.168,True,225.26219405018435,1,49.911754592276964,2,1,0.5,6.2
RuleBased,56,edge,3.21,41.856,2e-05,True,1.295,True,454.94347702423863,1,62.824009234424906,4,1,1.0,6.2
RuleBased,57,edge,3.172,37.442,2e-05,True,-0.91,True,489.54819033018083,1,39.19685843155882,3,1,2.0,9.4
RuleBased,58,edge,2.935,23.471,2e-05,True,0.902,True,293.12593275663687,1,64.4932012536293,3,1,1.0,9.4
RuleBased,59,edge,3.016,37.91,2e-05,True,-0.615,True,362.3495950227502,1,49.2889327210202,2,1,2.0,9.4
RuleBased,60,edge,3.01,48.561,2e-05,True,-0.192,True,481.76519294676086,1,49.22632480029115,3,2,2.0,6.2
RuleBased,61,edge,3.087,47.988,2e-05,True,0.79,True,253.88693209291733,1,56.563856644852635,2,1,1.0,6.2
RuleBased,62,edge,3.168,32.599,2e-05,True,-1.439,True,310.398959299882,1,43.647653917113566,3,2,0.5,6.2
RuleBased,63,edge,2.922,36.899,2e-05,True,0.997,True,495.5099671921683,1,54.3825918756108,2,2,1.0,9.4
RuleBased,64,edge,3.208,39.665,2e-05,True,2.313,True,385.08640148079826,1,60.901823078855564,2,1,2.0,6.2
RuleBased,65,edge,8.137,35.157,2e-05,True,0.095,True,448.5929482251645,1,62.34136158683314,3,2,0.5,6.2
RuleBased,66,edge,3.227,46.077,2e-05,True,-1.766,True,433.7138376581389,1,38.514675738936376,3,1,2.0,6.2
