engine,scenario_id,route,decision_time_us,latency_ms,cost_usd,success,reward,agreement_with_rule,ctx_network_latency_ms,ctx_connectivity,ctx_cpu_available,ctx_priority,ctx_batch_size,ctx_cost_budget_usd,ctx_model_size_mb
RuleBased,0,edge,4.513,42.844,2e-05,True,0.939,True,9999.0,0,55.12578776156253,3,1,2.0,22.5
RuleBased,1,edge,4.634,40.89,2e-05,True,1.681,True,673.9057274252241,1,66.52694962046019,3,4,0.5,6.2
RuleBased,2,edge,2.746,22.512,2e-05,True,0.194,True,9999.0,0,70.83806764261857,3,4,0.5,22.5
RuleBased,3,edge,2.561,21.198,2e-05,True,-1.044,True,9999.0,0,78.99561740417374,5,4,2.0,6.2
RuleBased,4,edge,3.453,42.867,2e-05,True,-1.103,True,444.83248501066316,1,56.903236021146874,5,1,1.0,6.2
RuleBased,5,hybrid,3.639,335.689,0.002,True,-27.823,True,584.4223006201619,1,53.05362612836714,2,4,1.0,22.5
RuleBased,6,edge,2.537,31.863,2e-05,True,-1.285,True,9999.0,0,56.232635698707185,5,4,2.0,6.2
RuleBased,7,hybrid,3.676,434.049,0.0005,True,-57.419,True,782.9131615497129,1,70.90660998556305,5,1,1.0,22.5
RuleBased,8,edge,2.568,39.695,2e-05,True,-0.069,True,9999.0,0,74.21530747001142,4,1,2.0,22.5
RuleBased,9,edge,3.431,33.36,2e-05,True,1.266,True,879.8110238731861,1,78.94332943321476,3,4,2.0,22.5
RuleBased,10,edge,3.256,30.763,2e-05,True,-0.741,True,600.9740227202581,1,40.12656699656477,2,1,0.5,22.5
RuleBased,11,hybrid,3.528,475.956,0.002,True,-59.435,True,863.4788538870123,1,47.99679321106885,4,4,2.0,22.5
RuleBased,12,hybrid,3.267,371.668,0.001,True,-43.509,True,678.9190026517865,1,75.36331110955027,4,2,0.5,22.5
RuleBased,13,hybrid,3.461,439.4,0.0005,True,-50.416,True,792.5420156203941,1,55.75866664157478,4,1,2.0,22.5
RuleBased,14,hybrid,3.217,406.101,0.0005,True,-48.366,True,724.2741199823697,1,75.16318421752034,4,1,0.5,22.5
RuleBased,15,edge,3.288,42.821,2e-05,True,-2.8,True,446.0843145855291,1,52.561516084015366,5,1,0.5,9.4
RuleBased,16,edge,2.427,37.879,2e-05,True,-2.042,True,9999.0,0,32.23295381361805,3,2,0.5,6.2
RuleBased,17,edge,2.463,41.617,2e-05,True,0.75,True,9999.0,0,59.153271978454136,3,4,2.0,9.4
RuleBased,18,edge,3.07,41.957,2e-05,True,0.158,True,465.6081399257386,1,59.90682083219058,2,2,1.0,9.4
RuleBased,19,edge,3.218,23.571,2e-05,True,0.548,True,791.7189791143355,1,75.75080707148805,4,4,0.5,9.4
RuleBased,20,edge,2.536,30.064,2e-05,True,1.586,True,9999.0,0,77.94122506161554,2,1,1.0,15.1
RuleBased,21,hybrid,3.676,474.684,0.001,True,-59.244,True,872.5355879433089,1,31.27911437689805,4,2,1.0,6.2
RuleBased,22,hybrid,3.464,357.664,0.0005,True,-43.303,True,633.2914045885884,1,60.93030147438445,4,1,2.0,15.1
RuleBased,23,edge,3.153,27.115,2e-05,True,1.644,True,516.6632535997715,1,65.5441339572923,3,1,2.0,9.4
RuleBased,24,edge,2.556,29.105,2e-05,True,0.955,True,9999.0,0,57.238322023658746,3,4,1.0,6.2
RuleBased,25,edge,2.591,41.507,2e-05,True,-0.778,True,9999.0,0,56.49682768386734,3,1,2.0,9.4
RuleBased,26,edge,6.544,34.834,2e-05,True,-2.413,True,9999.0,0,51.26771380491961,4,1,1.0,9.4
RuleBased,27,edge,2.581,30.171,2e-05,True,-0.915,True,9999.0,0,43.1721844762248,3,4,1.0,9.4
RuleBased,28,edge,2.463,47.69,2e-05,True,0.491,True,9999.0,0,54.102639200010486,2,2,0.5,9.4
RuleBased,29,edge,2.482,45.264,2e-05,True,-3.784,True,9999.0,0,34.65597990103839,4,2,2.0,9.4
RuleBased,30,edge,3.222,40.807,2e-05,True,0.57,True,575.9750800078373,1,37.83795615721558,2,1,2.0,15.1
RuleBased,31,edge,3.142,44.687,2e-05,True,-3.367,True,684.020758163074,1,40.72175263234787,5,2,0.5,6.2
RuleBased,32,edge,3.198,34.358,2e-05,True,0.689,True,448.21537045715627,1,51.802643750337914,3,1,2.0,9.4
RuleBased,33,edge,3.035,49.636,2e-05,True,-0.824,True,453.16001365567257,1,45.67754532277065,3,1,1.0,9.4
RuleBased,34,edge,2.414,55.458,2e-05,True,-1.394,True,9999.0,0,33.14395390967672,4,2,0.5,6.2
RuleBased,35,edge,2.478,38.109,2e-05,True,-2.605,True,9999.0,0,31.148885231434804,3,2,1.0,6.2
RuleBased,36,edge,3.023,32.509,2e-05,True,-1.338,True,558.0318644932868,1,40.781811399034204,3,1,2.0,15.1
RuleBased,37,edge,2.364,40.387,2e-05,True,1.327,True,9999.0,0,77.35318117470132,2,4,1.0,15.1
RuleBased,38,edge,2.555,26.053,2e-05,True,2.687,True,9999.0,0,77.91421136600917,3,1,1.0,15.1
RuleBased,39,edge,3.157,21.557,2e-05,True,2.38,True,410.13504543213855,1,77.83950423541808,2,1,0.5,6.2
RuleBased,40,edge,2.433,42.648,2e-05,True,-0.001,True,9999.0,0,36.28409777677949,2,2,1.0,9.4
RuleBased,41,edge,2.47,39.968,2e-05,True,-0.834,True,9999.0,0,49.20529580756357,3,4,0.5,9.4
RuleBased,42,edge,3.025,24.972,2e-05,True,2.707,True,730.7813432710869,1,76.73327302237254,3,4,0.5,9.4
